"품목별(1)",품목별(2),품목별(3),품목별(4),품목별(5),품목별(6),품목별(7),품목별(8),1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
"품목별(1)",품목별(2),품목별(3),품목별(4),품목별(5),품목별(6),품목별(7),품목별(8),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원)
"농림업",농업,농업총계,재배업,식량작물,맥류,밀,소계,946.3,0.0,993.3,0.0,980.0,0.0,1086.9,0.0,1152.1,0.0,1124.4,0.0,1010.4,0.0,766.3,0.0,513.0,0.0,381.6,0.0,498.5,0.0,419.8,0.0,229.7,0.0,183.6,0.0,215.9,0.0,472.9,0.0,293.8,0.0,338.5,0.0,574.1,0.0,88.6,0.0,54.1,0.0,23.4,0.0,19.2,0.0,12.7,0.0,5.8,0.4,4.6,0.4,2.8,0.2,2.8,0.3,7.6,0.7,11.1,1.1,52.8,5.4,56.2,5.8,38.2,5.7,24.6,3.2,28.9,4.1,12.0,1.7,14.6,2.5,30.0,5.2,51.5,8.9,64.9,11.2,39.5,6.9,29.9,5.2,37.8,6.3,53.3,8.5,96.6,16.4,201.2,34.2,224.6,42.6,190.4,34.4,139.5,23.7,120.4,24.7,135.9,27.6,199.1,41.0,192.5,38.9,132.6,25.1,77.3,14.6,87.4,16.5,135.4,25.9,177.7,34.5
"농림업",농업,농업총계,재배업,식량작물,잡곡,소계,소계,86.4,0.0,64.1,0.0,83.7,0.0,119.7,0.0,89.7,0.0,92.2,0.0,87.4,0.0,73.2,0.0,92.3,0.0,67.0,0.0,75.1,0.0,94.1,0.0,130.3,0.0,149.4,0.0,187.2,0.0,193.2,0.0,181.8,0.0,196.6,0.0,136.7,0.0,169.6,0.0,168.0,0.0,165.6,0.0,182.1,0.0,147.8,0.0,147.6,44.8,145.7,42.8,105.8,28.9,130.8,33.0,104.2,26.5,115.5,33.2,107.3,44.4,95.9,46.1,110.4,49.1,99.8,46.8,101.7,53.7,79.1,43.7,75.7,43.3,92.0,51.4,83.9,47.1,89.2,51.0,85.9,49.4,82.0,48.5,97.2,56.0,107.3,172.7,89.4,152.7,85.6,150.3,86.6,149.2,97.2,167.6,91.8,154.3,93.4,123.3,92.3,83.0,84.6,69.3,82.6,76.3,93.5,86.6,90.9,86.9,101.9,118.1,107.2,115.2,103.2,107.8
"농림업",농업,농업총계,재배업,식량작물,잡곡,옥수수,소계,45.5,0.0,38.4,0.0,67.9,0.0,71.9,0.0,71.3,0.0,77.2,0.0,73.1,0.0,61.2,0.0,69.6,0.0,59.6,0.0,61.8,0.0,79.3,0.0,94.3,0.0,114.2,0.0,169.7,0.0,175.6,0.0,165.6,0.0,133.4,0.0,114.7,0.0,152.0,0.0,150.2,0.0,129.1,0.0,145.2,0.0,120.6,0.0,137.5,33.9,136.6,31.4,85.0,19.5,105.1,24.2,93.6,21.2,100.9,26.2,84.9,32.7,82.2,34.1,98.9,42.0,91.4,39.4,90.4,41.1,73.2,35.6,65.2,32.7,83.4,42.5,80.0,40.7,88.5,45.0,83.7,42.6,73.6,37.5,95.2,48.9,105.8,164.4,87.7,144.3,84.7,139.4,83.9,138.0,94.8,156.0,91.7,145.3,93.5,114.6,89.2,70.5,84.0,59.8,82.7,68.6,88.9,73.5,87.0,74.7,104.6,111.0,108.4,106.0,103.9,97.6
"농림업",농업,농업총계,재배업,식량작물,잡곡,메밀,소계,505.1,0.0,327.6,0.0,246.1,0.0,609.6,0.0,277.6,0.0,245.3,0.0,233.5,0.0,196.5,0.0,325.3,0.0,142.7,0.0,212.4,0.0,245.5,0.0,499.6,0.0,510.1,0.0,366.9,0.0,373.5,0.0,347.7,0.0,844.6,0.0,362.3,0.0,350.0,0.0,351.2,0.0,539.9,0.0,560.7,0.0,425.7,0.0,251.4,3.4,238.5,3.4,318.5,4.4,393.9,5.5,213.6,2.8,264.2,4.0,337.3,7.4,235.5,5.6,228.1,7.1,186.1,7.3,217.2,12.6,139.8,8.1,183.1,10.6,179.6,8.9,123.1,6.4,97.0,6.0,108.2,6.8,167.8,11.1,118.0,7.1,122.7,8.4,106.6,8.4,94.2,10.9,114.3,11.1,121.1,11.5,92.7,9.0,93.3,8.7,124.7,12.5,91.2,9.5,81.2,7.7,140.2,13.1,130.4,12.2,74.7,7.1,94.9,9.2,95.6,10.2
"농림업",농업,농업총계,재배업,식량작물,두류,소계,소계,183.2,0.0,177.4,0.0,213.9,0.0,263.9,0.0,248.9,0.0,250.0,0.0,238.1,0.0,236.5,0.0,256.3,0.0,326.0,0.0,319.3,0.0,318.5,0.0,339.7,0.0,307.6,0.0,286.9,0.0,243.0,0.0,288.1,0.0,277.3,0.0,254.9,0.0,270.3,0.0,252.2,0.0,232.4,0.0,243.5,0.0,283.6,0.0,282.1,308.8,248.9,272.0,209.5,251.4,198.3,263.8,186.8,287.7,162.6,277.5,173.5,351.3,174.9,357.7,165.8,335.0,149.6,330.2,125.6,368.4,120.2,343.1,124.6,323.8,117.9,312.0,105.4,328.9,136.6,488.1,173.1,525.8,148.4,342.8,113.3,292.6,129.1,386.5,134.7,480.2,102.8,427.4,123.4,765.9,118.7,670.6,151.8,984.0,137.6,581.0,103.1,423.2,76.2,350.7,87.4,460.4,91.3,484.1,107.3,629.5,83.0,461.6,109.7,769.9,132.5,853.5
"농림업",농업,농업총계,재배업,식량작물,두류,콩,소계,176.2,0.0,162.9,0.0,203.5,0.0,247.7,0.0,231.3,0.0,234.3,0.0,224.5,0.0,226.2,0.0,248.3,0.0,321.7,0.0,313.6,0.0,297.9,0.0,321.9,0.0,295.7,0.0,259.6,0.0,218.5,0.0,259.4,0.0,235.7,0.0,228.6,0.0,256.0,0.0,236.2,0.0,200.5,0.0,205.5,0.0,241.8,0.0,254.1,247.0,235.1,213.7,185.0,180.6,177.7,199.3,171.8,228.7,155.9,223.1,161.2,274.4,161.7,281.7,158.0,273.5,141.8,275.2,117.3,313.3,114.3,285.8,118.9,268.1,116.2,269.6,106.1,287.1,139.9,431.4,185.2,479.1,158.0,325.5,115.4,270.9,134.0,354.8,140.6,449.3,106.4,396.1,130.7,718.6,123.7,610.5,155.6,889.7,140.7,526.0,104.5,383.2,76.2,313.1,86.5,393.9,90.3,426.8,106.4,546.3,81.7,408.2,111.9,677.5,131.2,728.6
"농림업",농업,농업총계,재배업,식량작물,두류,팥,소계,267.2,0.0,308.1,0.0,318.5,0.0,418.5,0.0,411.0,0.0,401.0,0.0,372.7,0.0,342.9,0.0,350.4,0.0,459.2,0.0,445.9,0.0,560.5,0.0,565.6,0.0,436.0,0.0,543.8,0.0,476.4,0.0,561.4,0.0,660.7,0.0,498.4,0.0,416.3,0.0,397.3,0.0,500.1,0.0,574.9,0.0,628.0,0.0,512.4,36.6,377.1,38.8,436.3,49.4,386.4,41.5,317.4,36.3,231.3,36.3,310.9,56.8,307.6,51.1,219.6,34.7,214.9,36.5,213.1,38.5,185.4,37.5,173.3,29.1,122.2,19.1,105.3,23.0,130.6,26.3,91.3,15.0,80.7,11.6,88.6,12.5,98.2,23.4,95.3,22.5,74.7,19.8,63.8,27.6,74.8,38.3,125.0,69.9,118.1,38.4,87.4,24.1,66.0,22.1,81.9,45.6,92.4,37.6,116.4,63.9,95.2,36.0,88.4,57.9,91.4,45.2
"농림업",농업,농업총계,재배업,식량작물,두류,녹두,소계,156.5,0.0,220.1,0.0,221.1,0.0,293.5,0.0,291.4,0.0,274.4,0.0,251.0,0.0,236.4,0.0,231.3,0.0,129.2,0.0,167.5,0.0,255.5,0.0,245.5,0.0,294.0,0.0,343.4,0.0,287.8,0.0,341.1,0.0,381.3,0.0,316.7,0.0,273.8,0.0,297.9,0.0,371.1,0.0,379.6,0.0,477.1,0.0,414.3,15.4,281.6,10.7,269.1,13.1,253.7,15.2,240.6,14.4,164.8,9.9,150.1,8.2,185.2,14.3,224.6,17.0,182.4,13.1,121.5,11.3,111.2,10.0,148.6,11.3,149.5,9.5,89.5,6.5,72.1,6.2,78.9,5.8,80.0,5.7,119.2,9.3,84.5,8.4,85.1,8.4,82.1,11.6,87.5,19.7,100.3,21.9,124.8,24.5,111.3,16.7,104.0,15.9,99.5,15.5,120.8,20.9,110.9,19.7,108.3,19.3,85.0,17.5,106.7,34.4,252.8,79.7
"농림업",농업,농업총계,재배업,식량작물,서류,소계,소계,529.9,0.0,487.7,0.0,312.8,0.0,378.2,0.0,388.9,0.0,391.5,0.0,352.1,0.0,338.8,0.0,305.7,0.0,268.3,0.0,365.7,0.0,331.4,0.0,294.2,0.0,286.9,0.0,251.4,0.0,211.8,0.0,220.4,0.0,176.0,0.0,198.5,0.0,177.1,0.0,169.6,0.0,152.1,0.0,120.8,0.0,121.8,0.0,141.8,340.4,97.0,257.3,91.2,349.5,103.5,396.7,90.8,300.7,75.5,367.9,92.3,430.4,107.5,540.7,93.6,495.4,95.7,413.5,118.5,452.6,106.9,348.9,87.9,340.9,99.5,294.6,79.6,335.9,102.5,469.6,110.4,376.5,92.0,426.8,98.7,491.4,97.2,1000.9,99.6,993.6,93.1,1043.8,86.4,1152.0,99.5,1530.8,106.0,1185.7,95.0,915.8,86.7,1060.3,95.6,1037.5,86.5,1063.9,89.2,1589.4,109.7,1269.6,93.6,1317.5,96.8,1412.1,89.5,1269.0
"농림업",농업,농업총계,재배업,식량작물,서류,감자,소계,96.8,0.0,114.8,0.0,94.4,0.0,102.9,0.0,100.0,0.0,100.9,0.0,98.3,0.0,76.5,0.0,78.4,0.0,74.6,0.0,110.2,0.0,94.9,0.0,93.1,0.0,50.7,0.0,59.3,0.0,74.4,0.0,92.5,0.0,89.8,0.0,78.2,0.0,72.7,0.0,95.9,0.0,94.4,0.0,75.1,0.0,70.8,0.0,105.0,156.4,61.8,131.4,69.3,225.9,121.1,305.0,103.8,208.2,81.6,266.6,98.8,305.6,121.9,365.4,106.4,295.0,93.7,244.2,113.1,300.1,117.5,218.2,100.7,225.7,111.1,162.5,83.1,161.4,107.2,280.6,149.2,224.0,105.3,186.4,95.8,190.5,100.8,558.6,98.5,429.5,102.9,555.9,103.8,589.1,101.3,618.2,121.3,561.8,98.5,400.2,89.7,564.1,92.7,519.6,77.9,553.1,91.4,915.3,115.2,632.0,92.3,522.7,92.6,570.8,80.2,746.4
